#   DATE TIME   EVLA    EVLO   STLA    STLO  EVDP   DIST    AZI    BAZ   FAST DFAST  TLAG DTLAG   SPOL DSPOL    WBEG    WEND STAT STRIKE   DIP REGION
 2007202 1327  -8.10  -71.30  48.26 -117.12 644.0  69.09 329.14 130.52 -14.00  5.00  1.15  0.08  23.96  1.37 1090.66 1115.66  NEW -13.12 67.18 South_America
 2007202 1327  -8.10  -71.30  48.26 -117.12 644.0  69.09 329.14 130.52 -14.00  5.25  1.15  0.09  23.64  1.30 1090.95 1115.59  NEW -13.12 67.18 South_America
 2007202 1534 -23.02  -66.32  37.63 -118.84 280.0  77.95 319.89 131.62  35.00  3.75  1.68  0.30 201.70  1.18 1248.37 1275.63 MLAC  -7.93 34.56 South_America
 2007202 1534 -23.02  -66.32  54.83  -66.83 280.0  77.53 359.70 179.52 -10.00  3.75  1.05  0.16  97.76  0.26 1241.15 1262.83 SCHQ  -7.93 34.56 South_America
 2007202 1534 -23.02  -66.32  50.25  -95.87 280.0  77.50 341.07 152.26 -39.00  1.25  1.58  0.13  60.05  0.19 1239.52 1262.55  ULM  -7.93 34.56 South_America
 2007322 0540 -22.72  -66.89  41.01  -73.91 263.7  63.73 354.08 172.77 -30.00 14.75  0.55  0.14 109.79  1.55 1097.10 1109.88  PAL  -9.59 29.47 South_America
 2008247 1125 -26.74  -63.22  38.64  -90.24 569.6  69.78 337.72 154.35 -87.00 11.75  0.43  0.07  54.92  0.24 1110.30 1119.86  SLM  -3.33 64.94 South_America
 2008286 2055 -20.12  -64.97  38.03 -120.39 352.7  77.80 318.31 127.67 -25.00  6.75  1.18  0.15  33.89  1.05 1236.88 1251.80  CMB -19.59 46.08 South_America
 2008286 2055 -20.12  -64.97  29.33 -103.67 352.7  61.72 321.69 138.15  22.00  4.00  1.38  0.09  48.55  1.76 1051.08 1061.08 TX31 -19.59 46.08 South_America
 1991158 1151  -7.11  122.76 -66.66  140.00 505.4  60.64 172.21 340.27 -45.00 15.00  0.70  0.22  25.57  2.25 1003.09 1029.77  DRV 252.86 67.67 Sumatra
 1992215 1203  -7.06  121.92 -66.66  140.00 480.0  60.80 171.86 339.34  47.00 15.50  0.33  0.11 167.54  1.05 1015.32 1030.89  DRV 250.24 71.89 Sumatra
 1994271 1639  -5.97  110.52 -66.66  140.00 648.0  63.92 167.39 326.97 -22.00 12.25  0.57  0.15 127.60  1.63 1035.27 1055.17  DRV 276.13 64.53 Sumatra
 1994319 2018  -5.57  110.22 -66.66  140.00 556.0  64.37 167.32 326.75  -5.00  8.50  0.45  0.04 129.81  1.15 1041.14 1069.39  DRV 278.91 68.00 Sumatra
 1994319 2018  -5.59  110.19 -66.66  140.00 560.6  64.36 167.31 326.71  -4.00  2.25  0.45  0.00 130.17  0.07 1049.48 1060.34  DRV 279.72 68.03 Sumatra
 1997269 1548  -5.38  128.99 -66.66  140.00 253.8  61.66 175.04 347.52  -7.00 22.75  0.57  0.25 126.44  3.23 1067.94 1084.99  DRV 158.00 39.00 Sumatra
 1999315 1805   1.28  100.32 -66.66  140.00 211.0  73.37 164.61 318.22 -47.00  3.25  1.38  0.08  70.06  2.11 1209.39 1232.47  DRV 268.65 72.92 Sumatra
 2001047 0559  -7.16  117.49 -66.66  140.00 521.0  61.40 170.00 334.36  38.00 14.00  0.47  0.11 167.73  1.67 1023.13 1033.00  DRV 284.66 61.66 Sumatra
 2002276 1905  -7.50  115.70 -66.66  140.00 315.0  61.38 169.24 332.30   2.00  8.25  0.63  0.06 131.09  1.45 1049.79 1074.14  DRV 277.81 67.17 Sumatra
 2004158 0938  -6.04  113.11   8.90   38.68 579.4  75.66 280.74  98.57 -42.00  7.00  0.93  0.13  77.79  1.00 1183.34 1197.28 FURI 277.73 67.19 Sumatra
 2006252 0413  -7.11  120.11 -66.66  140.00 541.0  61.02 171.09 337.29  32.00 14.00  0.45  0.17 144.05  0.98 1009.84 1029.26  DRV 296.88 63.32 Sumatra
 2007220 1704  -6.07  107.57 -66.66  140.00 291.9  64.49 166.31 323.78 -40.00  7.75  1.13  0.21 116.38  1.07 1090.99 1126.35  DRV 294.00 65.80 Sumatra
 1992243 2009 -17.92 -178.71 -66.66  140.00 565.0  55.56 198.58  49.62 -30.00  8.75  1.35  0.20   1.28  2.26  940.77  958.03  DRV 172.10 22.13 Tonga
 1998088 1948 -17.58 -178.99  38.03 -120.39 529.8  77.98  43.56 236.35  -9.00  2.50  1.77  0.11  17.33  0.58 1204.67 1228.72  CMB 133.07 22.17 Tonga
 1998088 1948 -17.58 -178.99  33.65 -117.01 529.8  77.98  48.84 239.42  -2.00  3.25  1.45  0.11  24.20  0.24 1214.22 1231.80  DGR 133.07 22.17 Tonga
 1999177 2205 -17.76 -178.17 -66.66  140.00 623.9  55.88 198.72  50.14 -17.00  4.50  1.52  0.15  95.79  1.69  934.98  948.70  DRV 176.20 28.81 Tonga
